why is love intensified by absence? | love, yearning
perfect love is the most beautiful of all frustrations because it is more than one can express. | love
some infinities are bigger than other infinities. | infinity, john-green, life, tfios, the-fault-in-our-stars
if one wanted to depict the whole thing graphically, every episode, with its climax, would require a three-dimensional, or, rather, no model: every experience is unrepeatable. what makes lovemaking and reading resemble each other most is that within both of them times and spaces open, different from measurable time and space. | love, reading, sex
her definition of romance was absentminded intimacy, the way someone else's hand stray to your plate of food.i replied: no, that's just friendship; romance is always knowing exactly where that someone else's hands are. she smiled and said, there was a time i thought that way, too. but at the heart of the romance is the knowledge that those hands may wander off elsewhere, but somehow through luck or destiny or plain blind groping they'll find a way back to you, and maybe you'll be smart enough then to be grateful for everything that's still possible, in spit of your own weaknesses- and his. | destiny, intimacy, karachi, love, pakistan, romance, weakness
let me tell ya. you gotta pay attention to signs. when life reaches out with a moment like this it's a sin if you don't reach back... i'm telling you. | chance, love, opportunity
you know, when it works, love is pretty amazing. it's not overrated. there's a reason for all those songs. | love
"so what i want to know is why it is that i can no longer find you, in my mind. you are still there, just, but you are there like a ghost, a will o' the wisp. not long ago you burned--your heart burned--in my mind like silver fire. but after that night in the inn it became patchy and dim, and now it is not there at all.""""could it be that the heart that you seek is no longer my own? i have given my heart to another.""""the boy? the one in the inn? with the unicorn?""""yes.""""you should have let me take it back then, for my sisters and me. we could have been young again, well into the next age of the world. your boy will break it, or waste it, or lose it. they all do.""""nonetheless, he has my heart. i hope your sisters will not be too hard on you, when you return to them without it. | love"
work without love is slavery. | faith, love, work
everything you can imagine is real. | art, imagination, inspirational, life
did you think you could stop me? i'll burn the world down to save her. | daemon-black, daemon-black-pov, katy-and-daemon, katy-swartz, love
loveembracing tao, you become embraced.supple, breathing gently, you become reborn.clearing your vision, you become clear.nurturing your beloved, you become impartial.opening your heart, you become accepted.accepting the world, you embrace tao.bearing and nurturing,creating but not owning,giving without demanding,controlling without authority,this is love. | love
